phrase_id,sent_id,sent,ground_score,ground_fine,ground_coarse,my_fine,my_coarse
188548,11021,The plot is romantic comedy boilerplate from start to finish .,0.45833,neutral,neutral,neutral,neutral,,,
185022,10026,"It 's a hellish , numbing experience to watch , and it does n't offer any insights that have n't been thoroughly debated in the media already , back in the Dahmer heyday of the mid - '90s .",0.25,negative,negative,very negative,negative,,,
107782,5409,"Missteps take what was otherwise a fascinating , riveting story and send it down the path of the mundane .",0.5,neutral,neutral,negative,negative,,,
104232,5649,"An Inuit masterpiece that will give you goosebumps as its uncanny tale of love , communal discord , and justice unfolds .",0.91667,positive,positive,very positive,positive,,,
66038,2662,"Holm does his sly , intricate magic , and Iben Hjelje is entirely appealing as Pumpkin .",0.75,positive,positive,positive,positive,,,
67227,2303,"Like Kubrick , Soderbergh is n't afraid to try any genre and to do it his own way .",0.72222,positive,positive,neutral,neutral,,,
224093,6894,Is it a comedy ?,0.36111,negative,neutral,neutral,neutral,,,
225381,2345,"Pacino and Williams seem to keep upping the ante on each other , just as their characters do in the film .",0.83333,positive,positive,positive,positive,,,
188008,9597,"The characterizations and dialogue lack depth or complexity , with the ironic exception of Scooter .",0.30556,negative,negative,negative,negative,,,
103320,6535,"4Ever has the same sledgehammer appeal as Pokemon videos , but it breathes more on the big screen and induces headaches more slowly .",0.65278,positive,neutral,negative,negative,,,
105273,6534,Crush could be the worst film a man has made about women since Valley of the Dolls .,0.041667,very negative,negative,very negative,negative,,,
224630,5331,Like being able to hit on a 15-year old when you 're over 100 .,0.27778,negative,negative,very negative,negative,,,
71012,2597,"With one exception , every blighter in this particular South London housing project digs into dysfunction like it 's a big , comforting jar of Marmite , to be slathered on crackers and served as a feast of bleakness .",0.43056,neutral,neutral,negative,negative,,,
63222,2538,"A much better documentary -- more revealing , more emotional and more surprising -- than its pedestrian English title would have you believe .",0.83333,positive,positive,very positive,positive,,,
68836,4291,"Smart , sassy interpretation of the Oscar Wilde play .",0.83333,positive,positive,positive,positive,,,
184492,9910,Horrendously amateurish filmmaking that is plainly dull and visually ugly when it is n't incomprehensible .,0.125,very negative,negative,very negative,negative,,,
222728,4622,"But arriving at a particularly dark moment in history , it offers flickering reminders of the ties that bind us .",0.66667,positive,positive,positive,positive,,,
186828,9502,Qualities that were once amusing are becoming irritating .,0.26389,negative,negative,negative,negative,,,
108560,4801,Read My Lips is to be viewed and treasured for its extraordinary intelligence and originality as well as its lyrical variations on the game of love .,0.86111,positive,positive,very positive,positive,,,
64191,3655,Australian filmmaker David Flatman uses the huge-screen format to make an old-fashioned nature film that educates viewers with words and pictures while entertaining them .,0.875,positive,positive,positive,positive,,,
69867,2979,"The result puts a human face on Derrida , and makes one of the great minds of our times interesting and accessible to people who normally could n't care less .",0.79167,positive,positive,positive,positive,,,
182051,9602,A tedious parable about honesty and good sportsmanship .,0.5,neutral,neutral,negative,negative,,,
69571,2425,The film is predictable in the reassuring manner of a beautifully sung holiday carol .,0.77778,positive,positive,neutral,neutral,,,
182820,11439,"Blade II has a brilliant director and charismatic star , but it suffers from rampant vampire devaluation .",0.55556,neutral,neutral,negative,negative,,,
221800,9063,"... has about 3\/4th the fun of its spry 2001 predecessor -- but it 's a rushed , slapdash , sequel-for-the-sake - of-a-sequel with less than half the plot and ingenuity .",0.16667,very negative,negative,neutral,neutral,,,
63572,3649,A wild ride of a movie that keeps throwing fastballs .,0.70833,positive,positive,positive,positive,,,
108146,5775,One can only assume that the jury who bestowed star Hoffman 's brother Gordy with the Waldo Salt Screenwriting award at 2002 's Sundance Festival were honoring an attempt to do something different over actually pulling it off,0.38889,negative,neutral,neutral,neutral,,,
64852,3557,Craig Bartlett and director Tuck Tucker should be commended for illustrating the merits of fighting hard for something that really matters .,0.73611,positive,positive,very positive,positive,,,
181760,10319,"A laughable -- or rather , unlaughable -- excuse for a film .",0.13889,very negative,negative,very negative,negative,,,
108992,5158,"Skin Of Man gets a few cheap shocks from its kids-in-peril theatrics , but it also taps into the primal fears of young people trying to cope with the mysterious and brutal nature of adults .",0.70833,positive,positive,positive,positive,,,
186430,11575,"Not a schlocky creature feature but something far more stylish and cerebral -- and , hence , more chillingly effective .",0.79167,positive,positive,positive,positive,,,
227293,3114,"You feel good , you feel sad , you feel pissed off , but in the end , you feel alive - which is what they did .",0.83333,positive,positive,positive,positive,,,
106538,4927,"I wo n't argue with anyone who calls ` Slackers ' dumb , insulting , or childish ... but I laughed so much that I did n't mind .",0.59722,neutral,neutral,neutral,neutral,,,
110050,5719,The only surprise is that heavyweights Joel Silver and Robert Zemeckis agreed to produce this ; I assume the director has pictures of them cavorting in ladies ' underwear .,0.375,negative,neutral,neutral,neutral,,,
64425,3935,Bolstered by exceptional performances and a clear-eyed take on the economics of dealing and the pathology of ghetto fabulousness .,0.80556,positive,positive,very positive,positive,,,
189948,9527,Your taste for Jonah - A Veggie Tales Movie may well depend on your threshold for pop manifestations of the Holy Spirit .,0.41667,neutral,neutral,neutral,neutral,,,
189362,9829,"Unless Bob Crane is someone of particular interest to you , this film 's impressive performances and adept direction are n't likely to leave a lasting impression .",0.33333,negative,neutral,positive,positive,,,
189613,10822,"What we have here is n't a disaster , exactly , but a very handsomely produced let-down .",0.34722,negative,neutral,negative,negative,,,
227371,11558,"` Possession , ' based on the book by A.S. Byatt , demands that LaBute deal with the subject of love head-on ; trading in his cynicism for reverence and a little wit",0.70833,positive,positive,neutral,neutral,,,
103536,6718,A domestic melodrama with weak dialogue and biopic cliches .,0.25,negative,negative,negative,negative,,,
103430,5039,A bodice-ripper for intellectuals .,0.69444,positive,positive,neutral,neutral,,,
183929,11095,"Filled with low-brow humor , gratuitous violence and a disturbing disregard for life .",0.31944,negative,negative,negative,negative,,,
187239,9716,"Shanghai Ghetto should be applauded for finding a new angle on a tireless story , but you might want to think twice before booking passage .",0.58333,neutral,neutral,positive,positive,,,
70227,3264,"This is an exercise in chilling style , and Twohy films the sub , inside and out , with an eye on preserving a sense of mystery .",0.80556,positive,positive,positive,positive,,,
224393,11600,It sucked .,0.013889,very negative,negative,negative,negative,,,
69164,2578,"Tense , terrific , sweaty-palmed fun .",0.73611,positive,positive,very positive,positive,,,
226792,7289,"Too predictably , in fact .",0.27778,negative,negative,negative,negative,,,
103926,4942,A stylish cast and some clever scripting solutions help Chicago make the transition from stage to screen with considerable appeal intact .,0.77778,positive,positive,positive,positive,,,
47403,2118,"This time , the hype is quieter , and while the movie is slightly less successful than the first , it 's still a rollicking good time for the most part .",0.76389,positive,positive,positive,positive,,,
106968,6117,"It 's the element of condescension , as the filmmakers look down on their working-class subjects from their lofty perch , that finally makes Sex With Strangers , which opens today in the New York metropolitan area , so distasteful .",0.16667,very negative,negative,very negative,negative,,,
