102340,4860,", The Sum of All Fears is simply a well-made and satisfying thriller ."
221244,7251,", `` They 're out there ! ''"
221388,5477,", is a temporal inquiry that shoulders its philosophical burden lightly ."
221714,5576,- I also wanted a little alien as a friend !
221716,2338,"- West Coast rap wars , this modern mob music drama never fails to fascinate ."
142685,7166,- greaseballs mob action-comedy .
221720,11305,- spy action flick with Antonio Banderas and Lucy Liu never comes together .
221722,11409,"- style cross-country adventure ... it has sporadic bursts of liveliness , some so-so slapstick and a few ear-pleasing songs on its soundtrack ."
221739,7163,-- but certainly hard to hate .
221741,2732,-- but it makes for one of the most purely enjoyable and satisfying evenings at the movies I 've had in a while .
221750,6580,-- is a crime that should be punishable by chainsaw .
221754,7778,-- that the ` true story ' by which All the Queen 's Men is allegedly `` inspired '' was a lot funnier and more deftly enacted than what 's been cobbled together onscreen .
221761,10865,-- was a fad that had long since vanished .
181282,11495,"... Blade II is still top-heavy with blazing guns , cheatfully filmed martial arts , disintegrating bloodsucker computer effects and jagged camera moves that serve no other purpose than to call attention to themselves ."
62545,3019,"... Despite lagging near the finish line , the movie runs a good race , one that will have you at the edge of your seat for long stretches . '"
103179,5877,"... Ice Age treads predictably along familiar territory , making it a passable family film that wo n't win many fans over the age of 12 ."
103180,5998,"... Jones , despite a definitely distinctive screen presence , just is n't able to muster for a movie that , its title notwithstanding , should have been a lot nastier if it wanted to fully capitalize on its lead 's specific gifts ."
221768,9890,... Liotta is put in an impossible spot because his character 's deceptions ultimately undo him and the believability of the entire scenario .
103182,4879,... Myers has turned his franchise into the movie version of an adolescent dirty-joke book done up in post-Tarantino pop-culture riffs ...
221770,2950,... Pray does n't have a passion for the material .
62548,3444,... Rogers 's mouth never stops shut about the war between the sexes and how to win the battle .
221771,7144,"... Stylistically , the movie is a disaster ."
142764,7062,"... Tara Reid plays a college journalist , but she looks like the six-time winner of the Miss Hawaiian Tropic Pageant , so I do n't know what she 's doing in here ..."
221773,9515,... The movie feels stitched together from stock situations and characters from other movies .
62550,3486,"... Wallace is smart to vary the pitch of his movie , balancing deafening battle scenes with quieter domestic scenes of women back home receiving War Department telegrams ."
221774,11617,... Watching it was painful .
221775,2737,... `` Bowling for Columbine '' remains a disquieting and thought-provoking film ...
142767,7111,"... a bland , pretentious mess ."
3467,6173,... a bland murder-on-campus yawner .
103184,6476,"... a cheap , ludicrous attempt at serious horror ."
142769,6992,... a cinematic disaster so inadvertently sidesplitting it 's worth the price of admission for the ridicule factor alone .
103185,6616,"... a complete shambles of a movie so sloppy , so uneven , so damn unpleasant that I ca n't believe any viewer , young or old , would have a good time here ."
221776,11821,... a confusing drudgery .
62551,4257,... a delicious crime drama on par with the slickest of Mamet .
103186,4843,"... a delightfully unpredictable , hilarious comedy with wonderful performances that tug at your heart in ways that utterly transcend gender labels ."
103187,5150,... a fairly disposable yet still entertaining B picture .
221777,10773,"... a fascinating curiosity piece -- fascinating , that is , for about ten minutes ."
103188,4627,... a funny yet dark and seedy clash of cultures and generations .
62552,4328,"... a gleefully grungy , hilariously wicked black comedy ..."
103189,5127,... a good film that must have baffled the folks in the marketing department .
221778,4619,"... a great , participatory spectator sport . '"
62553,3020,... a guiltless film for nice evening out .
181289,11422,"... a ho-hum affair , always watchable yet hardly memorable ."
142770,7264,... a hokey piece of nonsense that tries too hard to be emotional .
43850,2104,... a lesson in prehistoric hilarity .
221779,2671,"... a light , yet engrossing piece ."
181290,10068,"... a low rate Annie featuring some kid who ca n't act , only echoes of Jordan , and weirdo actor Crispin Glover screwing things up old school ."
103190,6033,... a mostly boring affair with a confusing sudden finale that 's likely to irk viewers .
181291,11590,"... a movie that , quite simply , should n't have been made ."
221780,7709,"... a plotline that 's as lumpy as two-day old porridge ... the filmmakers ' paws , sad to say , were all over this `` un-bear-able '' project !"
103191,4987,... a powerful sequel and one of the best films of the year .
181292,10540,... a preachy parable stylized with a touch of John Woo bullet ballet .
103192,5745,... a pretentious and ultimately empty examination of a sick and evil woman .
221781,11751,... a pretentious mess ...
221781,11807,... a pretentious mess ...
103194,5318,... a quietly introspective portrait of the self-esteem of employment and the shame of losing a job ...
181293,11372,... a rather bland affair .
221782,3428,... a rich and intelligent film that uses its pulpy core conceit to probe questions of attraction and interdependence and how the heart accomodates practical needs .
62559,3222,... a series of tales told with the intricate preciseness of the best short story writing .
103195,4977,"... a solid , unassuming drama ."
62560,2486,"... a solid , well-formed satire ."
62561,4347,"... a somber film , almost completely unrelieved by any comedy beyond the wistful everyday ironies of the working poor ."
221789,896,... a sour little movie at its core ; an exploration of the emptiness that underlay the relentless gaiety of the 1920 's ... The film 's ending has a `` What was it all for ? ''
221790,1241,"... a spoof comedy that carries its share of laughs -- sometimes a chuckle , sometimes a guffaw and , to my great pleasure , the occasional belly laugh ."
62562,2747,"... a story , an old and scary one , about the monsters we make , and the vengeance they take ."
103196,5659,"... a sweetly affecting story about four sisters who are coping , in one way or another , with life 's endgame ."
62563,3149,... a thoughtful what-if for the heart as well as the mind .
43852,1951,... a trashy little bit of fluff stuffed with enjoyable performances and a bewildering sense of self-importance
43853,1855,... a triumph of emotionally and narratively complex filmmaking .
221791,11636,... a true delight .
62564,3071,"... a visually seductive , unrepentantly trashy take on Rice 's second installment of her Vampire Chronicles ."
62565,3326,"... a vivid , thoughtful , unapologetically raw coming-of-age tale full of sex , drugs and rock 'n' roll ."
103197,6215,... a weak and ineffective ghost story without a conclusion or pay off .
181295,10693,... about as exciting to watch as two last-place basketball teams playing one another on the final day of the season .
221793,7593,... although this idea is `` new '' the results are tired .
103200,5532,... an adorably whimsical comedy that deserves more than a passing twinkle .
